meal_description,carb,protein,fat,energy
"I kept it simple for my snack today with a bottle of unsweetened water, just the right size at 12 fl oz.",0.0,0.0,0.0,0.0
"At lunch, I treated myself to a cup of bottled water, a piece of thin-crust pepperoni pizza from the cafeteria, and a satisfying cup of chocolate milk that was low in sugar.",0.24680834501011986,0.24501424501424504,0.1110445077176682,0.21818339852238158
"For my snack, I indulged in a chocolate-coated vanilla ice cream bar.",0.07153977891950801,0.028306221854608953,0.13547130226285026,0.10788787483702739
"For my breakfast, I prepared a cup of egg omelet with melted cheese, alongside a breakfast-size link of pork sausage, a slice of frozen French toast, and topped it off with a tablespoon of light pancake syrup.",0.10271679900358088,0.23325062034739455,0.23003147010340175,0.21110386788352892
My afternoon snack consisted of a juicy medium apple and a small single serving bag of delicious cheese popcorn.,0.16374747002958118,0.028673835125448032,0.07223138018882062,0.10920469361147328
"For a quick snack, I sipped on a Kool-Aid Jammers pouch of fruit juice drink, which is high in vitamin C.",0.08216565467849914,0.0022056796250344637,0.0014985763524651581,0.037183833116036506
"I had a satisfying lunch today with a peanut butter and jelly sandwich on white bread, complemented by a cup of whole strawberry milk for a sweet finish.",0.3112252841351393,0.18775847808105872,0.19391578000899146,0.2683007388092134
I treated myself to a 16.9 fl oz bottle of cola for a quick snack.,0.2113109139031605,0.0,0.009815675108646785,0.09564537157757498
"My lunchtime meal consisted of a tasty sautéed chicken wing, a comforting cup of mashed potatoes prepared with milk, and a tablespoon of ketchup. I also treated myself to a medium sautéed chicken drumstick, skin included.",0.18939747781410554,0.25071225071225073,0.17773115540236772,0.22347674923946112
"I started my day with a small serving of pan dulce, generously topped with sugar, and washed it down with a warm cup of instant coffee.",0.15938813638486687,0.05835860674570353,0.06721114940806235,0.11690569317687963
My afternoon snack included a delightful small raw apple paired with a cup of unsweetened bottled water to keep me hydrated.,0.08870465514557059,0.0039518426615200814,0.0020980068934512213,0.03728813559322034
"During snack time, I enjoyed a delicious medium apple, perfect for satisfying my hunger.",0.10750428148840105,0.004778972520908005,0.0025475797991907686,0.04519774011299435
"For dinner, I treated myself to a medium-sized fried chicken drumstick with its crispy coating, a cup of flavorful cooked broccoli, and a tasty fried chicken wing.",0.07940214852872489,0.27763992280121313,0.24029671811778808,0.21073446327683615
"During dinner, I enjoyed a delicious chocolate doughnut alongside a refreshing cup of bottled unsweetened water and a cup of creamy low-fat Greek yogurt with fruit.",0.2688385489646582,0.21983273596176825,0.17331035516259552,0.24771838331160367
"For my lunch today, I had a comforting cup of chicken or turkey vegetable soup that I made from scratch.",0.03849447298770045,0.09925558312655088,0.030421099955042705,0.04985658409387223
"This morning, I treated myself to a delicious medium chocolate muffin alongside a refreshing individual container of apple juice.",0.3107192900513778,0.07747449682933553,0.18140266746590739,0.2456931768796176
"For lunch, I had a McDonald's low-fat yogurt parfait with fruit alongside a refreshing cup of bottled unsweetened water.",0.09259691732835122,0.04631927212572374,0.0113891802787352,0.05475880052151239
"This morning, I savored a delicious cup of NFS milk to complement my breakfast.",0.04624007473143391,0.074901203933462,0.03641540536490334,0.054080834419817474
I treated myself to a piece of medium crust pepperoni pizza for lunch today.,0.17032539311848044,0.18316331219557028,0.10152854787951446,0.16354628422425033
"To kick off my day, I had a banana, washed it down with a 24 fl oz bottle of tap water, and indulged in a tasty Jimmy Dean sandwich with egg, cheese, and sausage nestled in a biscuit.",0.21948466448699983,0.12480470544986677,0.21542035066686646,0.22897001303780967
"I opted for a tasty breakfast tart this morning, making my breakfast both easy and enjoyable.",0.1509808500700607,0.019943019943019943,0.0364903341825266,0.09035202086049544
"During lunch, I enjoyed a hamburger with a small patty on a soft white bun, accompanied by a tablespoon of ketchup for extra flavor.",0.11758524054180289,0.18242808565389212,0.11928667765622658,0.15089960886571058
"I treated myself to a can of ginger ale for a quick snack, savoring its sweet and spicy flavor.",0.1268488245368208,0.0,0.0,0.054967405475880055
"For my snack, I poured myself a cup of reduced-fat (2%) milk.",0.046629300949711974,0.07508501056888155,0.03476697137719166,0.05302042590178184
"For my snack, I prepared a regular-sized microwavable package of Easy Mac, enjoying the creamy macaroni and cheese alongside a medium baked chicken thigh, skin removed.",0.1682235715397789,0.22277364212848083,0.07245616664169038,0.1569317687961756
"I enjoyed a cup of reduced-fat milk alongside a small baked chicken breast, a cup of tap water, and a cup of mashed potatoes for my lunch today.",0.1750739529814728,0.394816652881169,0.0982316799040911,0.2023902651021295
"At breakfast, I enjoyed a fluffy chocolate waffle made from frozen, complemented by a tablespoon of rich pancake syrup.",0.13039078312315117,0.027295285359801493,0.03161996103701483,0.07866145154280747
"At lunchtime, I indulged in a cup of regular applesauce and a satisfying peanut butter and jelly sandwich made with wheat bread.",0.2643235248326327,0.06828416505835862,0.07335531245316948,0.16125162972620602
"For my snack, I had a refreshing cup of tap water.",0.0,0.0,0.0,0.0
My snack consisted of a crisp cup of raw grapes and a fun freezer pop to satisfy my cravings.,0.14311848046084386,0.009925558312655089,0.0026974374344372843,0.062146892655367235
"I kicked off my day with a medium single serving bag of plain ruffled potato chips for breakfast, enjoying their satisfying crunch.",0.11941460376770978,0.03345280764635604,0.14513711973625057,0.13178617992177316
