meal_description,carb,protein,fat,energy
region pt 100g Abacate Hass,2.3,1.1,17.4,176
region pt 100g Abobora cristalizada,72.4,0.0,0.2,293
region pt 100g Abobora crua,1.7,0.3,0.2,11
region pt 100g Abrotea cozida,0.0,19.4,0.1,79
region pt 100g Abrotea crua,0.0,17.2,0.1,70
region pt 100g Acafrao,61.5,11.4,5.9,353
region pt 100g Acafrao-da-india seco,44.1,6.7,7.0,312
region pt 100g Acelga crua,2.7,1.8,0.2,23
region pt 100g Acorda,13.1,3.3,4.0,104
region pt 100g Acorda a alentejana,12.3,3.5,3.3,95
region pt 100g Acorda de bacalhau,5.7,3.4,3.5,69
region pt 100g Acorda de marisco,5.4,4.5,1.2,51
region pt 100g Acorda de ovo,14.0,3.6,4.0,108
region pt 100g Acucar amarelo,97.5,0.0,0.0,390
region pt 100g Acucar branco,99.3,0.0,0.0,397
region pt 100g Agriao cru,0.4,3.4,0.9,29
region pt 100g Agua mineral natural gaseificada Agua Castello,0.0,0.0,0.0,0
region pt 100g Agua mineral natural gaseificada Vimeiro,0.0,0.0,0.0,0
region pt 100g Agua mineral natural gasocarbonica Pedras Salgadas,0.0,0.0,0.0,0
region pt 100g Agua mineral natural Luso,0.0,0.0,0.0,0
region pt 100g Agua rede publica de abastecimento ,0.0,0.0,0.0,0
region pt 100g Aguardente,0.0,0.0,0.0,308
region pt 100g Aipo cru,1.5,1.1,0.1,15
region pt 100g Alcachofra cozida,5.3,3.0,0.2,46
region pt 100g Alcachofra crua,6.8,3.0,0.2,51
region pt 100g Alcaparras ,4.9,2.4,0.9,44
region pt 100g Alecrim fresco,13.5,1.4,4.4,115
region pt 100g Alecrim seco,46.4,4.9,15.2,377
region pt 100g Alface,0.8,1.8,0.2,15
region pt 100g Alface roxa,1.4,1.3,0.2,15
region pt 100g Alheira cozida sem adicao de sal,26.8,8.3,14.0,269
region pt 100g Alheira crua,27.4,8.3,18.1,309
region pt 100g Alheira grelhada sem adicao de sal,28.5,8.1,17.0,302
region pt 100g Alho cru,11.3,3.8,0.6,72
region pt 100g Alho em po,52.3,17.6,1.2,310
region pt 100g Alho-frances cru,2.9,1.8,0.3,26
region pt 100g Almondegas de porco,29.2,8.0,8.9,234
region pt 100g Almondegas de vaca,6.4,17.0,17.4,252
region pt 100g Almondegas de vaca e porco ,3.8,19.2,16.7,243
region pt 100g Ameijoa aberta ao natural sem sal,5.2,23.4,1.8,131
region pt 100g Ameijoa crua,2.6,11.7,0.9,65
region pt 100g Ameijoas a Bulhao Pato,3.2,12.8,2.5,89
region pt 100g Ameixa branca,7.8,0.6,0.2,40
