meal_description,carb,protein,fat,energy
"For my midday meal, I had a delightful 84g serving of cooked artichokes, boiled and sprinkled with salt.",0.042008330668735556,0.040419580419580416,0.002460507815730709,0.032380952380952385
"For a quick snack, I had 45g of wheat crackers paired with 80g of dry mix buttermilk biscuits.",0.36127884447673064,0.1735431235431235,0.16530029222837922,0.40880574452003016
"For my snack, I indulged in 132g of delicious chocolate ice cream.",0.16343890848415613,0.08351648351648351,0.12509304441319988,0.21551020408163266
"At dinner, I served myself 46.25g of white rice, specifically long-grain, parboiled, and enriched.",0.16426271100952528,0.05783175158175157,0.004104077068342844,0.13074452003023432
"I savored 15g of mustard during dinner, which added a nice kick to my plate.",0.003490595643802497,0.010614385614385612,0.004367918286328674,0.007823129251700681
"I opted for a simple snack of 122.5g of skim milk, which is fortified with essential vitamins.",0.027000525674922584,0.0728146853146853,0.002638412179858297,0.03425925925925926
"I savored 226g of raw beef during dinner, sourced from Australia and grass-fed, featuring a delicious layer of external fat.",0.0038699509439591453,0.42596070596070595,0.9999999999999999,0.8694935752078609
I enjoyed a hearty 417g serving of thin crust cheese pizza for dinner this evening.,0.5273038672177417,0.8269180819180819,0.3976950831196758,0.8289569160997733
"At lunch, I indulged in 52.5g of beans made from dried legumes, with no fat added.",0.058642006815881956,0.07797202797202796,0.0028042552311636744,0.05515873015873016
"At dinner, I savored 15.81g of vegetable soup, which I made using a convenient dry mix.",0.0032769887531471616,0.0018956043956043936,0.0029697752115898876,0.0047808012093726385
"For lunch, I combined 73g of fried meat substitute with 96g of raw lentils, creating a nutritious and filling plate.",0.4633425438956123,0.5492640692640691,0.05423713919444215,0.4535071806500378
I enjoyed a small portion of 21g Edam cheese for my snack.,0.002046937973761917,0.0872027972027972,0.04964436357621371,0.056507936507936514
"My snack consisted of 260g of raw light meat chicken intended for stewing, lightly dressed with 10.5g of sunflower oil.",0.0,0.9999999999999999,0.18476208198935848,0.339395313681028
I enjoyed a refreshing 16g piece of chewing gum for my snack today.,0.06793269912064431,0.0,0.0004135307253328922,0.0435374149659864
I treated myself to 28.35g of rice bran bread for a light snack.,0.05414704167079666,0.0420104895104895,0.011235112893888016,0.052071428571428574
I enjoyed a comforting 250g serving of mashed potatoes made from fresh ingredients and milk for dinner.,0.19319019915384888,0.08949383949383949,0.08765989854712872,0.21541950113378686
"For my snack, I had 12.5g of white granulated sugar.",0.05466404498785042,0.0,0.0003446089377774102,0.03788737717309146
