meal_description,carb,protein,fat,energy
"For a quick snack, I reached for 360g of bottled water, keeping it simple and hydrating.",0.0,0.0,0.0,0.0
"During lunch, I savored 240g of unsweetened bottled water, 142g of thin crust pepperoni pizza from school, and a delightful 248g of ready-to-drink reduced sugar chocolate milk.",0.24680834501011986,0.24501424501424504,0.1110445077176682,0.21818339852238158
"For my snack, I indulged in a delicious 75g vanilla ice cream bar coated in chocolate.",0.07153977891950801,0.028306221854608953,0.13547130226285026,0.10788787483702739
"I kicked off my day with a satisfying breakfast featuring 135g of cheesy egg omelet made with oil, alongside 20g of flavorful pork sausage, a serving of 60g plain French toast from frozen, and a sweet addition of 15g light pancake syrup.",0.10271679900358088,0.23325062034739455,0.23003147010340175,0.21110386788352892
My afternoon snack featured a 200g raw apple and a crunchy 28g serving of cheese-flavored popcorn.,0.16374747002958118,0.028673835125448032,0.07223138018882062,0.10920469361147328
"For a quick snack, I opted for 186g of fruit juice drink, which is loaded with high vitamin C.",0.08216565467849914,0.0022056796250344637,0.0014985763524651581,0.037183833116036506
"My lunch included a tasty 112g peanut butter and jelly sandwich, with a side of 248g whole strawberry milk for a sweet touch.",0.3112252841351393,0.18775847808105872,0.19391578000899146,0.2683007388092134
"During my snack time, I treated myself to 524g of cola.",0.2113109139031605,0.0,0.009815675108646785,0.09564537157757498
"My lunch featured 35g sauteed chicken wings, 60g of skin-on sautéed chicken drumsticks, paired with 250g of fluffy mashed potatoes and a generous 17g serving of ketchup.",0.18939747781410554,0.25071225071225073,0.17773115540236772,0.22347674923946112
"I started my day with 70g of pan dulce, which had a lovely sugar topping, paired with a warm 240g cup of reconstituted coffee.",0.15938813638486687,0.05835860674570353,0.06721114940806235,0.11690569317687963
"For a quick snack, I had a delicious 165g raw apple paired with 240g of refreshing unsweetened bottled water.",0.08870465514557059,0.0039518426615200814,0.0020980068934512213,0.03728813559322034
"During my snack time, I enjoyed a refreshing 200g apple straight from the fruit bowl.",0.10750428148840105,0.004778972520908005,0.0025475797991907686,0.04519774011299435
"This evening, my dinner consisted of 85g of deliciously fried chicken drumstick, 160g of restaurant-style cooked broccoli, and 55g of flavorful fried chicken wings.",0.07940214852872489,0.27763992280121313,0.24029671811778808,0.21073446327683615
"This evening's dinner included a 75g chocolate doughnut, paired with a refreshing 240g of unsweetened bottled water, and a creamy 245g serving of Greek low-fat yogurt with fruit.",0.2688385489646582,0.21983273596176825,0.17331035516259552,0.24771838331160367
I had 239g of delicious chicken or turkey vegetable soup from my own recipe for lunch.,0.03849447298770045,0.09925558312655088,0.030421099955042705,0.04985658409387223
"This morning, I treated myself to a 130g chocolate muffin paired with a refreshing 124g glass of 100% apple juice.",0.3107192900513778,0.07747449682933553,0.18140266746590739,0.2456931768796176
"For lunch, I had a delicious 150g low-fat yogurt parfait with fruit and 240g of bottled unsweetened water.",0.09259691732835122,0.04631927212572374,0.0113891802787352,0.05475880052151239
"For my breakfast, I poured myself 244g of NFS milk to kickstart the day.",0.04624007473143391,0.074901203933462,0.03641540536490334,0.054080834419817474
I treated myself to 147g of delicious school lunch pizza topped with pepperoni for lunch today.,0.17032539311848044,0.18316331219557028,0.10152854787951446,0.16354628422425033
"I kicked off my breakfast with a 126g raw banana, a refreshing 720g of tap water, and a delightful 128g egg, cheese, and sausage on a biscuit.",0.21948466448699983,0.12480470544986677,0.21542035066686646,0.22897001303780967
"I treated myself to a 54g breakfast tart this morning, and it was a lovely way to begin my day.",0.1509808500700607,0.019943019943019943,0.0364903341825266,0.09035202086049544
"Today’s lunch included a delicious 115g hamburger with a single patty on a soft white bun, along with 17g of ketchup for added flavor.",0.11758524054180289,0.18242808565389212,0.11928667765622658,0.15089960886571058
I treated myself to a 372g serving of ginger ale as a delightful snack.,0.1268488245368208,0.0,0.0,0.054967405475880055
"For my snack, I had 244g of reduced fat (2%) milk.",0.046629300949711974,0.07508501056888155,0.03476697137719166,0.05302042590178184
"For my snack, I had 215g of Easy Mac-style macaroni and cheese alongside 70g of baked chicken thigh, skin removed.",0.1682235715397789,0.22277364212848083,0.07245616664169038,0.1569317687961756
"My lunch consisted of 244g of reduced-fat milk, 105g of delicious baked chicken breast with the skin removed, a glass of 240g of tap water, and a generous 250g portion of school lunch mashed potatoes.",0.1750739529814728,0.394816652881169,0.0982316799040911,0.2023902651021295
"For breakfast today, I savored a 40g frozen chocolate waffle with a generous 20g serving of pancake syrup.",0.13039078312315117,0.027295285359801493,0.03161996103701483,0.07866145154280747
"Today for lunch, I had a generous 250g serving of regular applesauce and a tasty 56g peanut butter and jelly sandwich on wheat bread.",0.2643235248326327,0.06828416505835862,0.07335531245316948,0.16125162972620602
"For my snack, I had 240g of tap water.",0.0,0.0,0.0,0.0
I treated myself to a snack consisting of 150g of fresh raw grapes and a delightful 50g freezer pop.,0.14311848046084386,0.009925558312655089,0.0026974374344372843,0.062146892655367235
"For breakfast today, I enjoyed 57g of delicious plain ruffled potato chips.",0.11941460376770978,0.03345280764635604,0.14513711973625057,0.13178617992177316
I treated myself to a sweet 200g raw apple and a generous 496g of fruit juice drink for my snack today.,0.1557683325548809,0.004778972520908005,0.0025475797991907686,0.06675358539765319
