meal_description,carb,protein,fat,energy
"During lunch, I indulged in a cup of tender artichoke hearts, boiled and lightly salted for flavor.",0.042008330668735556,0.040419580419580416,0.002460507815730709,0.03724116348210095
"For a quick snack, I grabbed a small or medium bag of wheat crackers paired with two cups of dry mix biscuits.",0.36127884447673064,0.1735431235431235,0.16530029222837922,0.4701653424205017
"For my snack, I indulged in two cups of delicious chocolate ice cream.",0.16343890848415613,0.08351648351648351,0.12509304441319988,0.2478571552758315
"For my evening meal, I cooked up a quarter cup of dry long-grain white rice, enriched and parboiled to perfection.",0.16426271100952528,0.05783175158175157,0.004104077068342844,0.15036858667872108
"For dinner, I used a tablespoon of mustard, enhancing the taste of my favorite dish with its bold flavor.",0.003490595643802497,0.010614385614385612,0.004367918286328674,0.008997339916894135
"For a light snack, I opted for a refreshing half cup of skim milk, which is a great source of calcium.",0.027000525674922584,0.0728146853146853,0.002638412179858297,0.03940139437036007
"Dinner consisted of a 2 oz cut of grass-fed Australian beef, which I marinated and cooked to enhance its natural flavors.",0.0038699509439591453,0.42596070596070595,0.9999999999999999,1.0
"For my dinner, I treated myself to a cooked frozen thin crust cheese pizza, finishing off three-quarters of the pie.",0.5273038672177417,0.8269180819180819,0.3976950831196758,0.9533790009910114
"During lunch, I savored a serving of beans, which started as 0.75 oz dry and transformed into a hearty dish after cooking.",0.058642006815881956,0.07797202797202796,0.0028042552311636744,0.06343776622563764
"For my evening meal, I savored a tablespoon of delicious vegetable soup, crafted from a dry mix.",0.0032769887531471616,0.0018956043956043936,0.0029697752115898876,0.005498374393657528
"For lunch today, I had a nutritious serving of 0.5 cup of raw lentils and 0.5 cup of crispy fried meat substitute cubes.",0.4633425438956123,0.5492640692640691,0.05423713919444215,0.5215762296364553
"During my afternoon snack, I treated myself to a slice of Edam cheese.",0.002046937973761917,0.0872027972027972,0.04964436357621371,0.06498948137072519
"For a satisfying snack, I cooked two pieces of raw, light meat chicken without bone or skin, using just under a tablespoon of sunflower oil to keep it moist.",0.0,0.9999999999999999,0.18476208198935848,0.39033676999843525
"During my afternoon break, I chewed on two blocks of gum, enjoying the burst of flavor.",0.06793269912064431,0.0,0.0004135307253328922,0.05007215258097606
"I opted for an ounce of rice bran bread as my snack today, and it was a delightful choice to keep my energy up.",0.05414704167079666,0.0420104895104895,0.011235112893888016,0.05988707686423145
"At dinner time, I indulged in a comforting cup of creamy mashed potatoes made from fresh ingredients and blended with milk.",0.19319019915384888,0.08949383949383949,0.08765989854712872,0.2477528382912878
"For my snack, I indulged in a tablespoon of white granulated sugar.",0.05466404498785042,0.0,0.0003446089377774102,0.043574073752108075
"For dinner, I relished the sweet and tart flavors of half a green kiwifruit along with an ounce of rich parmesan cheese.",0.026214900167318082,0.17529845154845153,0.06260596724836655,0.11490255055027211
"At dinner time, I enjoyed a delicious plate with four slices of blood sausage.",0.005663985384283297,0.24309024309024305,0.2972252088330163,0.32946780951718624
"I savored two flatbread crackers for my snack, appreciating their flavor and crunch.",0.0660622667379275,0.0328005328005328,0.014215118683318168,0.07163099605334076
"I enjoyed a cup of rounds of plain melba toast crackers for breakfast, appreciating their wholesome simplicity.",0.11098776941388618,0.06648351648351647,0.00909767595732363,0.11187996592311837
"During my afternoon snack, I enjoyed a tablespoon of brown sugar, adding a touch of sweetness to my day.",0.05921883323437824,0.0002747252747252747,0.0,0.045421353686736096
"I opted for a large raw apple as my snack, relishing its natural crunch and delightful flavor.",0.12101434074997093,0.00971028971028971,0.002419154743197419,0.09012987464575692
"For my snack, I had half a tablespoon of powdered fruit-flavored drink mix.",0.027940132552625396,0.0,0.0005655894191271744,0.021471912651911607
"For breakfast, I had three-quarters of a cup of uncooked white glutinous rice.",0.49760087409783743,0.15732392607392603,0.006574492391034654,0.4462810995010171
"As a light snack, I savored a whole banana and a cup of sliced raw pears.",0.21925594770604748,0.02391608391608391,0.004728034626306067,0.17561764347931919
I treated myself to a snack consisting of a 0.25 cup serving of enriched white wheat flour bread.,0.10907134459171172,0.06831751581751581,0.004898185289333664,0.10748343967870369
"I satisfied my sweet tooth at snack time with two servings of cocoa mix powder, which I enjoyed as a creamy hot chocolate.",0.20587401386556795,0.06219114219114218,0.01929810051553497,0.19375141262583237
"For my snack, I enjoyed a large raw yellow peach.",0.07330250851985241,0.026515151515151512,0.0037691602569404235,0.05933028495922945
"During my snack time, I measured out a quarter cup of unenriched white all-purpose flour to satisfy my cravings.",0.10470414841924863,0.05374833499833499,0.002638412179858297,0.09888380826538241
"A perfect little indulgence for my snack was a half-cup of flan, smooth and sweet.",0.16119087707582047,0.11320346320346321,0.055326964960163205,0.2011579185284351
"For my evening meal, I savored a cup of bread made from unenriched wheat flour, paired with an ounce of rich red table wine, and a half-cup serving of mixed vegetables cooked in oil.",0.4911810320593647,0.3162812187812188,0.04389844029994761,0.523666915868352
"For a quick snack, I peeled and savored a yellow raw plantain.",0.3780512663123602,0.05844155844155843,0.008141386154991315,0.28635012257245684
"During snack time, I enjoyed a refreshing 12 fl oz of caffeine-free cola paired with a delicious slice of fried bread.",0.1795483366817805,0.04051948051948052,0.04220081052022165,0.18516264756506773
"I treated myself to a delicious snack of half a cup of instant pudding, the coconut cream variety, prepared with smooth whole milk.",0.06163865024593881,0.03548951048951048,0.02216266231080969,0.0747561590486291
"For a quick snack, I grabbed 0.5 ounces of oil-roasted peanuts without any salt, keeping it simple and tasty.",0.009497515585015598,0.06615472027972029,0.0641134159705566,0.07381143835735522
"For a quick snack, I indulged in 10 pieces of unsalted corn-based chips that were perfectly extruded.",0.04536457131039925,0.019780219780219776,0.05179472334794474,0.08715684058626146
"I snacked on a vibrant quarter cup of raw yambean slices, perfect for satisfying my cravings.",0.011617756067297369,0.0035964035964035942,0.000232611032999751,0.009910113531651513
"For my dinner, I served myself a quarter cup of pickled vegetables, bringing a zesty note to the evening's feast.",0.017299304196958284,0.006593406593406593,0.0007926005568880434,0.01495210111793035
"For breakfast, I had two boiled baby potatoes paired with a cup of whole milk.",0.1573499046617344,0.17020979020979018,0.11120530422077025,0.26082723368743155
"I included a half-cup of frozen mixed vegetables, cooked with oil, in my lunch for a healthy and tasty addition.",0.051457746284848185,0.04266150516150516,0.02430569914261296,0.07156579793800094
"For my snack, I savored a quarter-ounce of cooked rendered bacon fat.",0.0,0.00024766899766899764,0.1821581307032779,0.16588573812959645
"For my snack, I had a third of a cup of dry, fat-free skim milk.",0.013123102880476845,0.034618714618714616,0.0003814390180023709,0.018094650277309318
"For my breakfast today, I opted for a comforting cup of white corn grain, perfect for fueling my morning.",0.5412469307730364,0.2603596403596403,0.06778802415019436,0.5267138411252326
"For breakfast, I had half a cup of yellow corn grain.",0.2706234653865182,0.13017982017982016,0.03389401207509718,0.2633569205626163
I had a delightful snack consisting of 0.75 of a cooked duck egg.,0.003134950049905639,0.10454545454545455,0.08390150731949383,0.10223064485282612
"For snack, I relished a medium boiled sweet potato, about 0.75 of one, sprinkled with salt, and washed it down with a fruit-flavored soft drink that contains caffeine, enjoying a refreshing 1 fl oz serving.",0.1055749312885029,0.02583291708291708,0.0013659436771152095,0.08802614879079229
"During snack time, I indulged in a half-ounce of plain biscuits made from a dry mix.",0.03945887864285642,0.018881118881118878,0.018806602018029937,0.052740059460681186
"During snack time, I enjoyed a boiled sweet potato, about 0.75 of a medium one, seasoned lightly with salt.",0.08811185449089828,0.02583291708291708,0.0013659436771152095,0.07482135716396891
"For my evening meal, I savored a boiled frankfurter, cutting it in half for a lighter portion.",0.0054444510670630135,0.04291541791541791,0.056602018029939624,0.06476346123754716
"For breakfast, I had a warm cup of instant oats prepared with boiling water.",0.11989998455576079,0.09233766233766234,0.027417087089570753,0.13832432150494636
"At dinner, I enjoyed some fresh raw jackfruit, having a quarter-cup of those delicious one-inch pieces.",0.0385365052090554,0.010810855810855807,0.0020814379841755577,0.031175565484987046
"I treated myself to a snack of 0.25 cup of Quaker Puffed Rice, perfect for a little crunch.",0.0134895056559175,0.004085081585081585,0.0002713795384997105,0.011653076481735834
"During my afternoon snack, I enjoyed a dry teaspoon of instant coffee, sweetened and lightened for a quick pick-me-up.",0.0044740215712224755,0.000554778554778553,0.00426195103796212,0.007522123893805309
"During my afternoon break, I treated myself to a delightful half-cup serving of cooked cassava.",0.1391671943722817,0.01891441891441891,0.020883301629311055,0.1328302936523115
I enjoyed a light snack of 0.5 ounces of regular low-salt crackers to satisfy my cravings.,0.03803212511524179,0.017495837495837493,0.030951051746478095,0.061967766051775994
"To begin my day, I savored a half cup of chicken noodle soup, which I prepared with water for a quick and hearty breakfast.",0.01973942813286173,0.01713286713286713,0.005804506795688252,0.02449275866265626
