text,label
240g bottled unsweetened water 5g hard candy 30g brownie cookie without icing,1
a obra problemas constitui uma das mais antigas discussões sobre música se no livro vii da política aristóteles procurou mostrar a importância da música na educação no livro xix de problemas ele levanta questões de várias ordens referentes à acústica às escalas aos intervalos à voz aos encordoamentos aos harmônicos aos tipos de composição etc o autor levanta cinquenta problemas e a esses ele mesmo procura responder,0
in 1983 the cipm modified the international system of units to make the metre defined as the distance travelled in a vacuum by light in 1 second,0
135g baked egg 7g butter 25g toasted white bread 360g brewed coffee kickstart,1
240g tap water 36g clif kids organic zbar,1
cup quaker capn crunch peanut butter crunch cereal,1
145g shrimp steamed perfectly complemented by 372g fruity caffeinefree soft drink,1
anaximenes did not believe that any substance could be created or destroyed only that it could be changed from one form to another,0
496g canned orange juice paired 524g iced green tea,1
hengartner has argued and presented evidence that spontaneous remission and regression to the mean might actually account for most of the improvement in depression scores with antidepressants and that the substantial placebo effect observed in clinical trials might largely be a methodological artifact,0
cup frosted corn flakes cup 2 milk,1
turismo entre as atrações está a matriz de santo antônio uma construção iniciada na primeira metade do século xviii,0
breakthrough pure transverse waves in the draft memoir of 30 august 1816 fresnel mentioned two hypothesesone of which he attributed to ampèreby which the noninterference of orthogonallypolarized beams could be explained if polarized light waves were partly transverse,0
making nonarable land arable often involves digging new irrigation canals and new wells aqueducts desalination plants planting trees for shade in the desert hydroponics fertilizer nitrogen fertilizer pesticides reverse osmosis water processors pet film insulation or other insulation against heat and cold digging ditches and hills for protection against the wind and installing greenhouses with internal light and heat for protection against the cold outside and to provide light in cloudy areas,0
360g brewed coffee 44g chocolate cake icing,1
falências de petroleiras dos eua diminuem em junho com retomada nos preços reuters july 8 2016 1007 pm 3 years ago falências de petroleiras dos eua diminuem em junho com retomada nos preços o mês de junho registrou menos falências de companhias de energia dos estados unidos do que em qualquer outro mês este ano com apenas quatro pedidos de falência em meio a uma retomada de crescimento nos preços do petróleo mostraram dados compilados pelo advogados de falência haynes boone llp,0
40g soft frozen breadsticks 250g meatless pasta sauce 248g chocolate milk,1
100g tremoco cozido e salgado,1
etimologia grego é o nome pelo qual os romanos designavam os helenos habitantes da hélade que ficou conhecida como grécia,0
ambrosius and uther are supposedly raised by their adoptive maternal grandfather guthelinusvitalinus,0
neste ano o japão sofreu graves derrotas navais como na batalha do mar de bismarck que ocorreu entre 2 e 5 de março e na batalha do mar de bering a 26 de março,0
não só os gases estufa vêm aumentando,0
250g pasta cream sauce seafood conveniently ready heat,1
infant feeding offered ripe raw banana along cup soy milk,1
lewis david convention a philosophical study maynard smith j and harper d,0
pregnant women are often screened for continued resistance to rubella,0
1 fl oz diet fruitflavored drink reconstituted from powdered mix,1
100g cantarilho cru,1
embora os ssds tenham um custo por bit de quatro a nove vezes maior eles estão substituindo os hdds em aplicações onde velocidade consumo de energia tamanho pequeno alta capacidade e durabilidade são importantes,0
reptiles such as adders and vipers live up to the snow line because they cannot bear the cold temperatures they hibernate underground and soak up the warmth on rocky ledges,0
planetas gigantes os quatro maiores e mais afastados planetas do sistema solar formam o grupo dos gigantes gasosos todos com dimensões consideravelmente superiores às da terra,0
catherine legg peirce meaning and the semantic web,0
paulo merêa refere a existência de documentos comprovadamente encontrados na província de ourense na galiza nos quais surge a referência expressa a terras situadas em portugal ou seja ao sul do rio lima e que então pertenciam e vieram ainda a pertencer durante algum tempo no âmbito da organização eclesiástica de tui repovoada durante o reinado de,0
quando uma corda é deformada a perturbação propagase por toda a corda refletindose nas suas extremidades fixas,0
fried chicken drumstick complete skin coating,1
mais tarde surgiram pássaros marítimos sinais de terra próxima,0
1942 pierre laval becomes prime minister of vichy france,0
medium fruit muffin cup lowfat milk,1
opened regular microwave bag plain popcorn aroma taste,1
55g fried chicken wing coated irresistible fast food flavor,1
04g fluorine drops,1
características a ararinhaazul mede de 5560 centímetros de comprimento possui uma envergadura de 120 metros e pode pesar de 286 a 410 gramas,0
gap shooting gap shooting is an aiming method used by instinctive shooters,0
the estimations offered by scholars as to when protoafroasiatic was spoken vary widely ranging from 18000bce to 8000bce,0
20g glutenfree pancakes paired 20g beef sausage glass 244g milk,1
piece medium crust pizza meat vegetables from local restaurant along bottle caffeinefree fruitflavored soft drink,1
112g peanut butter jelly sandwich wheat bread regular jelly paired 496g iced black tea,1
116g grilled cheese sandwich cheddar cheese wheat bread crisp 360g beer,1
100g bife de espadarte estufado com azeite e vinho,1
as chuvas variam dos aos ao ano e bem distribuídas anualmente,0
372g milkshake various flavors excluding chocolate,1
três unidades compõem o quadro morfológico o planalto cristalino o chapadão e a planície aluvial,0
1 cup hot decaffeinated black tea paired miniature roll,1
family consorts ahmed had two known consorts plus several unknown concubines mothers of the other princes and princesses,0
the total mass of the asteroid belt is estimated to be kg which is just 3 of the mass of the moon the mass of the kuiper belt and scattered disk is over 100 times as large,0
medium taco from fast food restaurant filled meat beans followed it up medium burrito packed same ingredients,1
80g cooked pasta along fizzy 1395g fruitflavored soft drink containing caffeine,1
a barragem de bemposta é uma das 5 barragens que fica no troço internacional do rio douro,0
the german troops evacuated athens on 12 october 1944 and by the end of the month they had withdrawn from mainland greece,0
paired 154g raw orange 63g chocolate cookie icing coating,1
aproximadamente 250 mil budistas ativos vivem na alemanha 50 deles são de imigrantes asiáticos,0
opened can cola cubic inch plain milk chocolate candy piece hard candy,1
at the beginning of the 19th century ga,0
108g tart accompanied by 124g orange juice 248g lowfat chocolate milk finish,1
sua mãe queria que ele fosse educado em uma escola privada mas a família não era suficientemente rica para pagar as mensalidades tornandose pois necessário conseguir para ele uma bolsa de estudos,0
anarchocapitalists and rightlibertarians cite several historical precedents of what they believe to be examples of quasianarchocapitalism including the republic of cospaia acadia anglosaxon england medieval iceland the american old west gaelic ireland and merchant law admiralty law and early common law,0
aristóteles o discípulo mais importante de platão compartilhou com seu professor o título de maior filósofo da antiguidade,0
372g red bull energy drink also having 1014g unsweetened bottled water,1
the almoravids were victorious at the battle of consuegra during which the son of el cid diego rodríguez perished,0
28g chocolate fondant covered chocolate 507g bottled water keeping it,1
bunsize reducedfat beef sausage shoestring fast food french fries,1
her greatuncle tiberius had already become emperor and the head of the family after the death of augustus in 14,0
189g thin crust pizza loaded extra meat vegetables,1
100g cavala crua,1
360g diet cola 134g lean pork steak baked right,1
480g brewed coffee paired 130g fruit muffin,1
116g grilled cheese sandwich gooey cheddar cheese white bread along classic 46g peanut butter sandwich white bread,1
100g feijao branco cru seco,1
