meal_description,carb,protein,fat,energy
region usa 84g cooked artichokes boiled sprinkled salt,0.07931360358119871,0.061865443425076445,0.006865384615384615,0.052408798414523755
region usa 45g wheat crackers paired 80g dry mix buttermilk biscuits,0.6821105860896958,0.2656218144750255,0.4612259615384615,0.6616549631768246
region usa 132g chocolate ice cream,0.30857995523501613,0.12782874617737003,0.3490384615384615,0.3488047760025446
region usa 4625g white rice specifically longgrain parboiled enriched,0.3101353311779823,0.08851618246687053,0.011451322115384615,0.21161092216975363
region usa 15g mustard nice plate,0.006590400397910968,0.01624617737003058,0.012187499999999999,0.012661789532920653
region usa 1225g skim milk is fortified essential vitamins,0.05097819779491006,0.11144877675840976,0.007361778846153846,0.05544885126373224
region usa 525g beans from dried legumes no fat,0.11071872668490428,0.11934250764525993,0.007824519230769227,0.08927479141689706
region usa 1581g vegetable soup using convenient dry mix,0.006187101052806101,0.002901376146788988,0.008286358173076921,0.007737760270118178
region usa 73g fried meat substitute 96g raw lentils creating filling plate,0.8748114067810661,0.8406931702344546,0.1513341346153846,0.7340045509040641
region usa 21g edam cheese,0.0038647102710768467,0.13347094801223242,0.13851923076923076,0.09145849135083557
region usa 16g piece chewing gum,0.12825996849871507,0.0,0.0011538461538461537,0.07046561131364538
region usa 2835g rice bran bread,0.10223203183287742,0.06430045871559632,0.03134855769230769,0.08427797215629665
region usa 250g mashed potatoes from ingredients milk,0.3647517201359529,0.1369775739041794,0.24459134615384615,0.3486579726456412
region usa 125g white granulated sugar,0.10320815717483213,0.0,0.0009615384615384615,0.06132098553986935
region usa 345g green kiwifruit 2835g hard parmesan cheese,0.049494901765729925,0.2683084862385321,0.17468509615384614,0.16170022754520325
region usa 100g blood sausage,0.010693857249440438,0.3720693170234454,0.829326923076923,0.46365393555332635
region usa 20g flatbread crackers,0.12472850866285336,0.05020387359836901,0.03966346153846153,0.10080497174035381
region usa 33g plain melba toast crackers without any salt,0.20954986321810495,0.10175840978593272,0.025384615384615384,0.15744660027892637
region usa 1375g brown sugar energy,0.11180780071292383,0.0004204892966360856,0.0,0.06392062831836755
region usa 216g raw apples peeled extra sweetness,0.22848047749316092,0.014862385321100917,0.006749999999999999,0.1268381003645617
region usa 65g powdered fruitflavored drink wasnt reconstituted,0.05275221752466219,0.0,0.0015781249999999999,0.03021702429595557
region usa 13875g uncooked white glutinous rice,0.9394926635165383,0.24079701834862383,0.018344350961538462,0.6280431112524774
region usa 126g raw banana paired 140g raw pear,0.41396501699411425,0.03660550458715596,0.01319230769230769,0.24714345134692084
region usa 3425g enriched wheat flour bread,0.2059315676034154,0.10456549439347605,0.013667067307692307,0.15125945046610068
region usa 56g cocoa mix powder,0.3886993285252425,0.09518858307849133,0.05384615384615385,0.2726627682219667
region usa 175g raw yellow peaches,0.1383984083561303,0.040583588175331295,0.010516826923076922,0.0834944092388246
region usa 3125g unenriched white wheat flour,0.19768610627538757,0.08226618246687054,0.007361778846153846,0.13915734873137434
region usa 130g flan hit spot,0.3043355715825251,0.17326707441386344,0.154375,0.2830858065621101
region usa 137g unenriched wheat bread complemented by 30g table red wine 925g frozen mixed vegetables were cooked oil,0.9273717151620658,0.4840940366972477,0.12248677884615383,0.7369467348486702
region usa 270g yellow plantains,0.7137776672469535,0.08944954128440366,0.02271634615384615,0.4029752146999095
region usa 276 g caffeinefree cola along 26 g fried dough bread,0.3389952748072619,0.06201834862385321,0.11774999999999998,0.26057595850358445
region usa 735g bowl coconut cream pudding milk,0.11637652325292218,0.05431957186544342,0.061838942307692296,0.105202955640919
region usa 14175g oilroasted peanuts great way curb hunger,0.01793173339965183,0.10125516055045873,0.17889122596153845,0.10387346773996234
region usa 18g unsalted cornbased chips,0.08565033573737878,0.030275229357798163,0.14451923076923073,0.12265420469281399
region usa 30g raw yambean its texture,0.021934842079084808,0.0055045871559633,0.000649038461538459,0.013946318905825648
region usa 40g tangy pickled vegetables,0.03266185857581033,0.010091743119266056,0.0022115384615384614,0.02104181448949133
region usa 120g boiled potatoes 244g milk,0.2970836442012767,0.26051987767584095,0.3102884615384615,0.3670573267108709
region usa 925g oilcooked frozen mixed vegetables,0.09715452209234851,0.06529689092762488,0.0678185096153846,0.10071321964228917
region usa 2125g cooked rendered fat from bacon,0.0,0.0003790774719673802,0.5082632211538461,0.2334479215091385
region usa 575g fatfree dry milk,0.024777004062007793,0.052986748216106015,0.0010643028846153845,0.025464265616207096
region usa 83g yellow corn grain,0.5109491834535357,0.19925076452599388,0.09457211538461538,0.3706173081157789
region usa 525g cooked duck egg,0.005918925640387964,0.16001529051987767,0.23410456730769227,0.1438672897653593
region usa 11325g tender boiled potato salt complemented by fizzy 31g fruitflavored soft drink energizes caffeine,0.19933018320484128,0.03953937308868501,0.0038112980769230767,0.12387756600034255
region usa 14175g dry mix biscuits cravings,0.07450012434717733,0.028899082568807334,0.05247475961538461,0.07422010716645054
region usa 11325g cooked potato lightly salted,0.16635911464809752,0.03953937308868501,0.0038112980769230767,0.10529470773898364
region usa 25g frankfurter cooked boiled perfection,0.010279366658376855,0.0656855249745158,0.1579326923076923,0.09114041741087814
